gene_id	color	description
Tb927.1.5110	turquoise	"expression site-associated gene 11 (ESAG11) protein, putative"
Tb927.1.5120	turquoise	"expression site-associated gene 1 (ESAG1) protein, putative"
Tb927.1.5150	cyan	hypothetical protein
Tb927.1.5170	turquoise	"variant surface glycoprotein (VSG)-related, putative"
Tb927.1.530	black	"hypothetical protein, conserved"
Tb927.1.540	red	"DNA-directed RNA polymerase III, putative"
Tb927.1.560	blue	"WD domain, G-beta repeat, putative"
Tb927.1.570	green	"Histone-lysine N-methyltransferase, H3 lysine-76 specific"
Tb927.1.580	midnightblue	"phosphate-repressible phosphate permease, putative"
Tb927.1.600	purple	"phosphate-repressible phosphate permease, putative"
Tb927.1.610	magenta	"hypothetical protein, conserved"
Tb927.1.630	yellow	histone chaperone ASF1A
Tb927.1.640	cyan	BRCA2
Tb927.1.650	yellow	"conserved protein, unknown function"
Tb927.1.670	lightcyan	"conserved protein, unknown function"
Tb927.1.690	red	"hypothetical protein, conserved"
Tb927.1.70	turquoise	"retrotransposon hot spot protein 4 (RHS4), putative"
Tb927.1.700	turquoise	phosphoglycerate kinase
Tb927.1.710	brown	phosphoglycerate kinase
Tb927.1.720	black	phosphoglycerate kinase
Tb927.1.730	turquoise	"NADH-ubiquinone oxidoreductase complex I subunit, putative"
Tb927.1.740	darkgrey	phosphatidylinositol-4-phosphate 5-kinase related
Tb927.1.750	grey	Metal-binding domain-containing protein
Tb927.1.760	yellow	wd40 repeat domain-containing protein
Tb927.1.790	black	"hypothetical transmembrane protein, conserved"
Tb927.1.800	pink	hypothetical transmembrane protein
Tb927.1.820	brown	kelch domain-containing protein
Tb927.1.840	turquoise	"transmembrane protein, putative"
Tb927.1.860	green	"transmembrane protein, putative"
Tb927.1.870	lightgreen	deoxyhypusine synthase
Tb927.1.880	darkgrey	"Midasin, putative"
Tb927.1.990	tan	Enkuring domain-containig protein
Tb927.10.1000	black	hypothetical protein
Tb927.10.10000	tan	"hypothetical protein, conserved"
Tb927.10.10010	pink	"mRNA turnover protein 4 homolog, putative"
Tb927.10.10020	lightgreen	"Rab5 GDP/GTP exchange factor (Rabex-5), putative"
Tb927.10.10030	tan	"hypothetical protein, conserved"
Tb927.10.10040	brown	hypothetical protein
Tb927.10.10050	grey60	"hypothetical protein, conserved"
Tb927.10.10080	blue	"hypothetical protein, conserved"
Tb927.10.10090	red	Component of motile flagella 14
Tb927.10.10100	cyan	"hypothetical protein, conserved"
Tb927.10.10110	turquoise	"PIG-P, putative"
Tb927.10.10120	turquoise	"hypothetical protein, conserved"
Tb927.10.10130	green	RNA editing mediator complex protein 1
Tb927.10.10140	yellow	"paraflagellar rod component, putative"
Tb927.10.10150	red	"hypothetical protein, conserved"
Tb927.10.10160	yellow	"Pentatricopeptide repeat protein (PPR), putative"
Tb927.10.10170	blue	"pre-mRNA splicing factor 46, putative"
Tb927.10.10180	turquoise	"Miro-like protein, putative"
Tb927.10.10190	cyan	Leucine-rich repeat domain containing protein
Tb927.10.10200	green	"hypothetical protein, conserved"
Tb927.10.10210	purple	procyclin-associated gene 4 (PAG4) protein
Tb927.10.10220	green	procyclin-associated gene 2 (PAG2) protein
Tb927.10.10230	salmon	procyclin-associated gene 5 (PAG5) protein
Tb927.10.10240	darkgrey	procyclin-associated gene 1 (PAG1) protein
Tb927.10.10250	pink	EP2 procyclin
Tb927.10.10260	black	EP1 procyclin
Tb927.10.10270	green	hypothetical protein
Tb927.10.10280	pink	"microtubule-associated protein, putative"
Tb927.10.1030	brown	"serine peptidase, Clan SC, Family S10"
Tb927.10.10300	green	"hypothetical protein, conserved"
Tb927.10.10320	yellow	"dynein light chain Tctex-type, putative"
Tb927.10.10330	tan	Anaphase-promoting complex subunit CDC27
Tb927.10.10340	magenta	"structural maintenance of chromosome 2, putative"
Tb927.10.10350	salmon	"STE/STE11 serine/threonine-protein kinase, putative"
Tb927.10.10360	magenta	Microtubule-associated repetitive protein
Tb927.10.10370	red	"hypothetical protein, conserved"
Tb927.10.10380	cyan	"ATP-dependent DEAD/H RNA helicase, putative"
Tb927.10.10390	cyan	trypanothione reductase
Tb927.10.1040	blue	"serine peptidase, Clan SC, Family S10"
Tb927.10.10400	blue	Mitochondrial ribosomal protein S11
Tb927.10.10410	darkturquoise	"DNA replication licensing factor MCM8, putative"
Tb927.10.10420	yellow	"monothiol glutaredoxin, putative"
Tb927.10.1050	brown	"serine peptidase, Clan SC, Family S10"
Tb927.10.10590	greenyellow	"histone H2B, putative"
Tb927.10.1060	pink	"T-complex protein 1, delta subunit, putative"
Tb927.10.10600	orange	"ARP2/3 complex 16kDa subunit, putative"
Tb927.10.10610	turquoise	"protein tyrosine phosphatase, putative"
Tb927.10.10620	green	"hypothetical protein, conserved"
Tb927.10.10630	pink	"hypothetical protein, conserved"
Tb927.10.10640	blue	"hypothetical protein, conserved"
Tb927.10.10650	blue	"cytosolic Fe-S cluster assembly factor NAR1, putative"
Tb927.10.10670	blue	"kinetoplastid-specific dual specificity phosphatase, putative"
Tb927.10.10680	green	"hypothetical protein, conserved"
Tb927.10.1070	green	cdc2-related kinase 1
Tb927.10.10700	brown	splicing factor Prp31
Tb927.10.10710	purple	"hypothetical protein, conserved"
Tb927.10.10720	turquoise	"Tetraspanin family, putative"
Tb927.10.10730	salmon	RNA Interference Factor 5
Tb927.10.10740	salmon	"hypothetical protein, conserved"
Tb927.10.10750	greenyellow	"metallo-peptidase, Clan MC, Family M14, putative"
Tb927.10.10770	green	"Generative cell specific 1 protein, putative"
Tb927.10.10780	turquoise	"hypothetical protein, conserved"
Tb927.10.1080	purple	"40S ribosomal protein S23, putative"
Tb927.10.10800	black	"palmitoyl acyltransferase 2, putative"
Tb927.10.10810	salmon	adenosine deaminase-like protein
Tb927.10.10820	green	"hypothetical protein, conserved"
Tb927.10.10830	lightgreen	RGG-containing protein 2
Tb927.10.10840	brown	Enriched in surface-labeled proteome protein 15
Tb927.10.10850	salmon	Protein argonaute-1
Tb927.10.10870	green	"CMGC family protein kinase, putative"
Tb927.10.10880	grey60	"ATP-binding cassette sub-family F member 1, putative"
Tb927.10.1090	green	"40S ribosomal protein S23, putative"
Tb927.10.10920	brown	"heat shock protein, putative"
Tb927.10.10930	grey	"heat shock protein, putative"
Tb927.10.10990	magenta	predicted WD40 repeat protein
Tb927.10.1100	lightyellow	"60S ribosomal protein L9, putative"
Tb927.10.11000	midnightblue	"hypothetical protein, conserved"
Tb927.10.11010	tan	"hypothetical protein, conserved"
Tb927.10.11020	magenta	"DNA mismatch repair protein MSH2, putative"
Tb927.10.11030	turquoise	Archaic translocase of outer membrane 11 kDa subunit
Tb927.10.11040	green	"hypothetical protein, conserved"
Tb927.10.11050	green	"LSU ribosomal protein, mitochondrial, putative"
Tb927.10.11060	blue	"hypothetical protein, conserved"
Tb927.10.11070	grey	"hypothetical protein, conserved"
Tb927.10.11080	darkred	paraflagellar rod protein
Tb927.10.11090	yellow	"hypothetical protein, conserved"
Tb927.10.1110	green	"kinesin, putative"
Tb927.10.11100	royalblue	"deoxyribodipyrimidine photo-lyase, putative"
Tb927.10.11110	darkred	"hypothetical protein, conserved"
Tb927.10.11120	yellow	"hypothetical protein, conserved"
Tb927.10.11130	yellow	"SET domain containing protein, putative"
Tb927.10.11140	brown	"hypothetical protein, conserved"
Tb927.10.11150	darkturquoise	"hypothetical protein, conserved"
Tb927.10.11160	blue	"NFU2 iron-sulfur cluster scaffold homolog, mitochondrial"
Tb927.10.11170	grey60	"hypothetical protein, conserved"
Tb927.10.11180	yellow	"Ubiquitin-like modifier-activating enzyme ATG7, putative"
Tb927.10.1120	lightcyan	"hypothetical protein, conserved"
Tb927.10.11200	brown	"hypothetical protein, conserved"
Tb927.10.11210	black	"hypothetical protein, conserved"
Tb927.10.11220	darkred	procyclic form surface phosphoprotein
Tb927.10.11230	brown	"Ras-induced vulval development antagonist, putative"
Tb927.10.11250	red	Coiled-coil domain-containing protein 40 homolog
Tb927.10.11300	green	"paraflagellar rod component, putative"
Tb927.10.11310	brown	intraflagellar transport protein 57/55
Tb927.10.11330	turquoise	"EF-hand domain pair, putative"
Tb927.10.11340	yellow	"hypothetical protein, conserved"
Tb927.10.11350	purple	"LSU ribosomal protein, mitochondrial, putative"
Tb927.10.11360	grey	"protein phosphatase 2A regulatory subunit, putative"
Tb927.10.11380	brown	"hypothetical protein, conserved"
Tb927.10.11390	lightyellow	"60S ribosomal protein L6, putative"
Tb927.10.11400	turquoise	"WD domain, G-beta repeat, putative"
Tb927.10.11410	yellow	"hypothetical protein, conserved"
Tb927.10.11420	greenyellow	"hypothetical protein, conserved"
Tb927.10.11430	royalblue	"hypothetical protein, conserved"
Tb927.10.11440	black	"G1 cyclin CycE4, putative"
Tb927.10.11450	pink	"TFIIF-stimulated CTD phosphatase, putative"
Tb927.10.11460	lightcyan	hypothetical protein
Tb927.10.11470	salmon	"hypothetical protein, conserved"
Tb927.10.11480	brown	"hypothetical protein, conserved"
Tb927.10.11500	green	conserved protein
Tb927.10.11510	green	"hypothetical protein, conserved"
Tb927.10.11520	green	mitochondrial import inner membrane translocase subunit tim13
Tb927.10.11530	cyan	"hypothetical protein, conserved"
Tb927.10.11540	black	"40S ribosomal protein S3, putative"
Tb927.10.11550	royalblue	"hypothetical protein, conserved"
Tb927.10.11560	green	"hypothetical protein, conserved"
Tb927.10.11570	lightgreen	"hypothetical protein, conserved"
Tb927.10.11580	darkgrey	predicted WD40 repeat protein
Tb927.10.11590	midnightblue	"nicotinate phosphoribosyltransferase, putative"
Tb927.10.1160	turquoise	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
Tb927.10.11600	salmon	"hypothetical protein, conserved"
Tb927.10.11610	grey	SKP1-like protein
Tb927.10.11620	yellow	"calcium-transporting ATPase, putative"
Tb927.10.11630	black	"PSP1 C-terminal conserved region, putative"
Tb927.10.11650	darkred	"hypothetical protein, conserved"
Tb927.10.11670	blue	"hypothetical protein, conserved"
Tb927.10.11680	yellow	Voltage-gated Chloride channel Like 2
Tb927.10.11690	brown	"YEATS family, putative"
Tb927.10.1170	lightgreen	intraflagellar transport protein 172
Tb927.10.11700	darkturquoise	"guanylate kinase, putative"
Tb927.10.11710	greenyellow	hypothetical protein
Tb927.10.11720	salmon	"CW-type Zinc Finger, putative"
Tb927.10.11730	darkorange	"zinc finger protein family member, putative"
Tb927.10.11750	green	"hypothetical protein, conserved"
Tb927.10.11760	black	pumilio/PUF RNA binding protein 6
Tb927.10.11770	purple	succinate dehydrogenase cytochrome B subunit
Tb927.10.11780	lightcyan	"hypothetical protein, conserved"
Tb927.10.1180	salmon	"hypothetical protein, conserved"
Tb927.10.11800	orange	"Axonemal inner arm dynein light chain, putative"
Tb927.10.11810	green	"hypothetical protein, conserved"
Tb927.10.11820	brown	kinetoplast ribosomal PPR-repeat containing protein 17
Tb927.10.11830	blue	"hypothetical protein, conserved"
Tb927.10.11840	blue	"WD domain, G-beta repeat, putative"
Tb927.10.11850	red	"WD domain, G-beta repeat, putative"
Tb927.10.11860	greenyellow	"Cornifin (SPRR) family, putative"
Tb927.10.11870	black	Guide RNA binding complex protein 5
Tb927.10.11880	blue	"hypothetical protein, conserved"
Tb927.10.11890	green	"hypothetical protein, conserved"
Tb927.10.1190	yellow	"hypothetical protein, conserved"
Tb927.10.11910	blue	"major facilitator superfamily, putative"
Tb927.10.11920	blue	"hypothetical protein, conserved"
Tb927.10.11930	turquoise	beta-D-hydroxybutyrate dehydrogenase
Tb927.10.11940	turquoise	"ABC1 protein, putative"
Tb927.10.11950	tan	"hypothetical protein, conserved"
Tb927.10.11960	blue	"hypothetical protein, conserved"
Tb927.10.11970	black	glutamine aminotransferase (GlnAT)
Tb927.10.11980	turquoise	QA-SNARE protein putative
Tb927.10.11990	pink	"60S ribosome subunit biogenesis protein NIP7, putative"
Tb927.10.120	yellow	hypothetical protein
Tb927.10.12000	lightgreen	"iron-sulfur cluster assembly protein, putative"
Tb927.10.12010	turquoise	"hypothetical protein, conserved"
Tb927.10.12020	brown	"recA bacterial DNA recombination protein, putative"
Tb927.10.12030	green	"hypothetical protein, conserved"
Tb927.10.12050	green	"LSU ribosomal protein, mitochondrial, putative"
Tb927.10.12060	pink	"hypothetical protein, conserved"
Tb927.10.12080	black	"hypothetical protein, conserved"
Tb927.10.12090	midnightblue	"RNA-binding protein, putative"
Tb927.10.1210	darkturquoise	"katanin, putative"
Tb927.10.12100	turquoise	RNA-binding protein 7B
Tb927.10.12110	midnightblue	"hypothetical protein, conserved"
Tb927.10.12120	greenyellow	"hypothetical protein, conserved"
Tb927.10.12130	red	"Ubiquitin family, putative"
Tb927.10.12140	red	"hypothetical protein, conserved"
Tb927.10.12150	blue	"hypothetical protein, conserved"
Tb927.10.12160	turquoise	"hypothetical protein, conserved"
Tb927.10.12170	black	"RAB-interacting protein, putative"
Tb927.10.12180	red	"hypothetical protein, conserved"
Tb927.10.12190	brown	"RAB-interacting protein, putative"
Tb927.10.1220	orange	hypothetical protein
Tb927.10.12200	turquoise	"hypothetical protein, conserved"
Tb927.10.12210	brown	"ribulose-5-phosphate 3-epimerase, putative"
Tb927.10.12220	turquoise	"hypothetical protein, conserved"
Tb927.10.12230	tan	"hypothetical protein, conserved"
Tb927.10.12240	pink	"3-ketoacyl-CoA reductase, putative"
Tb927.10.12250	lightgreen	"hypothetical protein, conserved"
Tb927.10.12260	black	"cytosolic nonspecific dipeptidase, putative"
Tb927.10.12270	orange	"methyltransferase domain containing protein, putative"
Tb927.10.12290	pink	"UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative"
Tb927.10.1230	blue	Enriched in surface-labeled proteome protein 23
Tb927.10.12300	red	"hypothetical protein, conserved"
Tb927.10.12310	lightgreen	helicase-like protein
Tb927.10.12320	tan	hypothetical protein
Tb927.10.12330	green	"zinc finger protein family member, putative"
Tb927.10.12350	blue	"hypothetical protein, conserved"
Tb927.10.12360	grey	"hypothetical protein, conserved"
Tb927.10.12370	black	gamma-glutamylcysteine synthetase
Tb927.10.12380	tan	"chaperone protein DnaJ, putative"
Tb927.10.12390	magenta	"hypothetical protein, conserved"
Tb927.10.1240	greenyellow	"hypothetical protein, conserved"
Tb927.10.12400	black	"membrane transporter protein, putative"
Tb927.10.12410	tan	"hypothetical protein, conserved"
Tb927.10.12420	yellow	predicted S. cerevisiae Got1 homologue
Tb927.10.12430	royalblue	"Noc2p family, putative"
Tb927.10.12440	tan	"kinesin, putative"
Tb927.10.12450	darkgreen	"SNARE domain-containing protein, putative"
Tb927.10.12460	brown	"Zinc finger, C3HC4 type (RING finger), putative"
Tb927.10.12470	darkgrey	"hypothetical protein, conserved"
Tb927.10.12480	green	"UAA transporter family, putative"
Tb927.10.12490	lightcyan	"kinesin, putative"
Tb927.10.1250	turquoise	"Aminoacyl-tRNA editing domain containing protein, putative"
Tb927.10.12500	salmon	"P-type H -ATPase, putative"
Tb927.10.12510	brown	"P-type H -ATPase, putative"
Tb927.10.12520	blue	"hypothetical protein, conserved"
Tb927.10.12530	lightyellow	"chaperone protein DnaJ, putative"
Tb927.10.12540	brown	"NADH-ubiquinone oxidoreductase complex I subunit, putative"
Tb927.10.12550	brown	"hypothetical protein, conserved"
Tb927.10.12590	salmon	"hypothetical protein, conserved"
Tb927.10.1260	salmon	"aspartyl-tRNA synthetase, putative"
Tb927.10.12600	turquoise	Small RNA 2'-O-methyltransferase
Tb927.10.12610	lightgreen	hypothetical protein
Tb927.10.12620	darkred	"Protein of unknown function (DUF3648), putative"
Tb927.10.12630	tan	"hypothetical protein, conserved"
Tb927.10.12640	yellow	"chaperone protein DnaJ, putative"
Tb927.10.12650	pink	"hypothetical protein, conserved"
Tb927.10.12660	darkgreen	pumilio/PUF RNA binding protein 2
Tb927.10.12670	blue	"hypothetical protein, conserved"
Tb927.10.12680	black	"60S ribosomal protein L34, putative"
Tb927.10.12690	green	"hypothetical protein, conserved"
Tb927.10.1270	greenyellow	"mismatch repair protein, putative"
Tb927.10.12700	green	"pyruvate dehydrogenase E1 alpha subunit, putative"
Tb927.10.12710	greenyellow	"heat shock protein 110, putative"
Tb927.10.12720	red	"hypothetical protein, conserved"
Tb927.10.12730	greenyellow	hypothetical protein
Tb927.10.12740	darkred	Zinc finger CCCH domain-containing protein 35
Tb927.10.12750	magenta	hypothetical protein
Tb927.10.12760	darkturquoise	"zinc finger protein family member, putative"
Tb927.10.12780	black	Zinc finger CCCH domain-containing protein 37
Tb927.10.1280	cyan	"Domain of unknown function (DUF4499), putative"
Tb927.10.12800	turquoise	Zinc finger CCCH domain-containing protein 38
Tb927.10.12810	black	"cholinephosphate cytidylyltransferase A, putative"
Tb927.10.12820	red	"hypothetical protein, conserved"
Tb927.10.12830	brown	"acetyltransferase, putative"
Tb927.10.12840	lightyellow	mitochondrial carrier protein
Tb927.10.12850	brown	ttaggg binding factor
Tb927.10.12860	darkred	"pre-RNA processing PIH1/Nop17, putative"
Tb927.10.12870	lightcyan	Basal body protein
Tb927.10.12880	turquoise	"SET domain containing protein, putative"
Tb927.10.12890	red	"bifunctional aminoacyl-tRNA synthetase, putative"
Tb927.10.12900	green	"Complex 1 protein (LYR family), putative"
Tb927.10.12910	pink	"hypothetical protein, conserved"
Tb927.10.12920	grey60	Flagellum attachment zone protein 18
Tb927.10.12930	pink	"hypothetical protein, conserved"
Tb927.10.12940	grey	predicted zinc finger protein
Tb927.10.12950	grey60	Basal body protein
Tb927.10.12960	blue	Ras-related protein Rab5A
Tb927.10.12970	red	"AN1-like zinc finger, putative"
Tb927.10.12980	salmon	"Multisite-specific tRNA:(cytosine-C(5))-methyltransferase, putative"
Tb927.10.12990	green	predicted ankyrin repeat family protein
Tb927.10.1300	blue	"hypothetical protein, conserved"
Tb927.10.13000	lightcyan	"cAMP phosphodiesterase A, putative"
Tb927.10.13020	purple	"Vacuolar protein sorting-associated protein 16 homolog, putative"
Tb927.10.13030	red	"cysteine peptidase, Clan CA, family C2, putative"
Tb927.10.13040	black	procyclic-enriched flagellar receptor adenylate cyclase 4
Tb927.10.13060	brown	hypothetical protein
Tb927.10.13070	royalblue	"hypothetical protein, conserved"
Tb927.10.13090	turquoise	"PhoD-like phosphatase, putative"
Tb927.10.1310	yellow	"Domain of unknown function (DUF4042), putative"
Tb927.10.13100	greenyellow	Cytokinesis initiation factor 3
Tb927.10.13110	blue	Outer arm dynein light chain 7
Tb927.10.13120	grey60	mitochondrial carrier protein
Tb927.10.13130	black	UTP-glucose-1-phosphate uridylyltransferase
